M00001225;8
M00001581;461
M00001575;89
M00006094;62
M00001576;268
M00001582;6783
M00001577;268
M00001243;736
M00001578;305
M00004947;484
M00001579;203
M00001271;16
M00002462;636
M00001365;9
M00001583;20
M00005695;36
M00001709;6361
M00001706;57
M00001707;150
M00001223;156
M00002151;10
M00001230;780
M00001236;4174
M00001238;496
M00001239;272
M00001240;132
M00001244;471
M00001245;32
M00001246;32
M00001247;309
M00001248;52
M00001249;188
M00001638;52
M00001264;9
M00001269;4
M00001278;312
M00001281;510
M00008955;34
M00001293;400
M00004914;84
M00004946;84
M00001308;2
M00009088;2
M00001309;7
M00002476;271
M00002477;268
M00002508;301
M00002509;301
M00001328;4
M00001187;352
M00009086;5
M00001189;15
M00001191;29
M00008999;29
M00001362;4
M00008958;30
M00008930;30
M00001369;916
M00008950;23
M00008915;2
M00008914;2
M00004894;76
M00001382;34
M00001383;49
M00001400;110
M00009089;1
M00009090;1
M00002935;20
M00001428;108
M00001431;21
M00001432;97
M00004642;44
M00002962;42
M00002967;51
M00002986;51
M00001444;57
M00001448;109
M00001828;34
M00002997;51
M00003031;22
M00001467;215
M00001469;37
M00001487;276
M00003154;51
M00001514;23
M00001887;80
M00003226;10
M00001535;4
M00001537;101
M00001917;29
M00001547;42
M00001548;64
M00001549;84
M00001553;29
M00001919;356
M00004348;41
M00003367;113
M00003370;62
M00005945;53
M00003468;28
M00003469;28
M00004910;251
M00003645;1
M00003662;24
M00005651;275
M00004546;28
M00004658;6
M00004664;18
M00005536;50
M00004282;13
M00004284;12
M00004281;6
M00005211;3
M00005212;3
M00005213;3
M00005214;3
M00005317;127
M00008957;146
M00008463;48
M00008268;9
M00006171;12
M00004918;84
M00004960;84
M00004964;84
M00004965;84
M00004968;84
M00009050;29
M00004915;84
M00008946;62
M00005034;58
M00004962;60
M00004963;60
M00008863;44
M00004982;45
M00008822;29
M00004961;84
M00008862;71
M00005189;114
M00008857;119
M00004959;102
M00004952;3
M00005397;1
M00005074;3
M00008935;111
M00004993;11
M00008923;84
M00008959;82
M00005025;29
M00008947;33
M00008922;54
M00009029;24
M00009002;30
M00009009;7
M00009021;39
M00009022;39
M00009014;226
M00009049;11
M00009016;59
M00009018;25
M00009019;25
M00009001;30
M00009003;29
M00009026;27
M00009004;29
M00009005;29
M00009006;29
M00009025;57
M00009000;35
M00009030;50
M00009020;29
M00001220;456
M00009085;4
M00009087;1
M00001222;114
M00001727;105
M00001734;77
M00001735;77
M00001736;39
M00001750;2
M00001756;25
M00001766;57
M00001771;37
M00002756;77
M00002757;39
M00002759;39
M00001775;8
M00001779;37
M00001806;57
M00001807;57
M00001809;159
M00001811;55
M00001816;20
M00001817;5
M00001822;6
M00001823;6
M00001824;10
M00001836;10
M00001837;55
M00001838;55
M00001897;113
M00003269;48
M00003272;56
M00005540;53
M00004801;204
M00004804;207
M00004805;36
M00004808;45
M00004811;48
M00003430;409
M00001938;6
M00001939;22
M00001940;26
M00001953;5
M00003634;99
M00003652;26
M00003696;10
M00003707;2
M00003739;5
M00004296;13
M00006234;17
M00004374;15
M00005136;1
M00004641;55
M00001710;75
M00001711;126
M00002059;19
M00002060;22
M00002061;22
M00002062;21
M00002063;62
M00002065;66
M00001179;34
M00001180;64
M00002073;66
M00008267;64
M00002177;62
M00002727;66
M00001586;1200
M00001587;1578
M00001140;44
M00001590;1
M00001705;2
M00001611;6
M00007720;3
M00004637;2
M00008427;2
M00001641;16
M00001644;5
M00001646;1
M00001653;8
M00001654;1
M00001655;3
M00001656;3
M00001657;1
M00001267;3
M00001661;26
M00001662;28
M00007662;3
M00001963;4
M00001670;4
M00001671;2
M00001675;22
M00009066;1
M00001677;10
M00001679;6
M00001971;12
M00001684;26
M00004838;84
M00001388;1
M00001395;19
M00005081;2
M00006772;20
M00006774;28
M00002052;96
M00002074;200
M00003787;144
M00001990;8
M00001991;241
M00001995;60
M00001999;49
M00002001;189
M00002006;24
M00002007;20
M00001211;25
M00006413;8
M00002053;14
M00002054;78
M00003775;120
M00002056;104
M00003786;40
M00005385;35
M00007258;60
M00002021;52
M00002022;80
M00002023;44
M00002025;720
M00002026;1440
M00002027;540
M00001992;252
M00002032;480
M00002037;88
M00002040;52
M00002041;78
M00006082;65
M00006083;65
M00002045;96
M00002046;108
M00004133;100
M00005533;40
M00004134;54
M00006412;26
M00006224;40
M00005010;924
M00006350;50
M00001572;56
M00001584;50
M00001573;8
M00008889;1
M00008365;29
M00008892;11
M00008334;4